time,open,high,low,close,Volume,Volume MA
1991-04-02T14:30:00Z,7.34375,7.375,6.5625,7.34375,9147200,NaN
1991-04-03T14:30:00Z,7.34375,7.34375,6.875,7.3125,3403200,NaN
1991-04-04T14:30:00Z,7.28125,7.28125,7.09375,7.21875,831200,NaN
1991-04-05T14:30:00Z,7.1875,7.1875,7.09375,7.125,457200,NaN
1991-04-08T13:30:00Z,7.125,7.1875,6.875,7.125,608800,NaN
1991-04-09T13:30:00Z,7.125,7.25,7.125,7.1875,472400,NaN
1991-04-10T13:30:00Z,7.1875,7.5,7.125,7.5,781600,NaN
1991-04-11T13:30:00Z,7.75,8.28125,7.75,8.0625,1339200,NaN
1991-04-12T13:30:00Z,8.0625,8.25,8.0625,8.15625,468800,NaN
1991-04-15T13:30:00Z,8.15625,8.21875,7.9375,8,352800,NaN
1991-04-16T13:30:00Z,8,8.15625,7.78125,8.09375,266400,NaN
1991-04-17T13:30:00Z,8.09375,8.125,7.90625,7.9375,246400,NaN
1991-04-18T13:30:00Z,7.9375,8.0625,7.875,8,298800,NaN
1991-04-19T13:30:00Z,8,8.0625,7.9375,8.03125,204800,NaN
1991-04-22T13:30:00Z,8.03125,8.0625,7.59375,7.59375,388000,NaN
1991-04-23T13:30:00Z,7.65625,7.84375,7.65625,7.8125,256400,NaN
1991-04-24T13:30:00Z,7.84375,8.0625,7.84375,8.03125,254000,NaN
1991-04-25T13:30:00Z,8.0625,8.125,8.0625,8.0625,82400,NaN
1991-04-26T13:30:00Z,8.0625,8.0625,7.875,8,106800,NaN
1991-04-29T13:30:00Z,8.125,8.25,8.125,8.1875,306400,1013640
1991-04-30T13:30:00Z,8.125,8.125,7.75,8.0625,187600,565660
1991-05-01T13:30:00Z,8.0625,8.1875,8.0625,8.1875,196400,405320
1991-05-02T13:30:00Z,8.1875,8.28125,8.125,8.25,155200,371520
1991-05-03T13:30:00Z,8.25,8.28125,8.125,8.25,85600,352940
1991-05-06T13:30:00Z,8.21875,8.21875,8.03125,8.15625,55200,325260
